restaurant_class,restaurant_name,restaurant_url,restaurant_reviews
93,Restaurant Opaline,/Restaurant_Review-g187265-d13110017-Reviews-Restaurant_Opaline-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
94,Le Penjab,/Restaurant_Review-g187265-d3242991-Reviews-Le_Penjab-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
95,Le Bistrot d'Odette,/Restaurant_Review-g187265-d14164012-Reviews-Le_Bistrot_d_Odette-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
96,La Source,/Restaurant_Review-g187265-d17541665-Reviews-La_Source-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
97,Bateau Hermes,/Restaurant_Review-g187265-d695176-Reviews-Bateau_Hermes-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
98,Casa Nobile,/Restaurant_Review-g187265-d7045473-Reviews-Casa_Nobile-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
99,Le Garet,/Restaurant_Review-g187265-d719126-Reviews-Le_Garet-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
100,Les Ventres Jaunes,/Restaurant_Review-g187265-d1643207-Reviews-Les_Ventres_Jaunes-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
101,Le Bistrot Nicephore,/Restaurant_Review-g187265-d14170954-Reviews-Le_Bistrot_Nicephore-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
102,Léon de Lyon,/Restaurant_Review-g187265-d719487-Reviews-Leon_de_Lyon-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
103,Crêperie La Marie Morgane,/Restaurant_Review-g187265-d4338972-Reviews-Creperie_La_Marie_Morgane-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
104,Chez Grand Mere Lyon,/Restaurant_Review-g187265-d2720343-Reviews-Chez_Grand_Mere_Lyon-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
105,Miko Sushi,/Restaurant_Review-g187265-d6697386-Reviews-Miko_Sushi-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
106,L'Authentik Restaurant,/Restaurant_Review-g187265-d21177672-Reviews-L_Authentik_Restaurant-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
107,La Voie Himalaya,/Restaurant_Review-g187265-d8789737-Reviews-La_Voie_Himalaya-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
108,L'Étage,/Restaurant_Review-g187265-d2284897-Reviews-L_Etage-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
109,Les Culottes Longues,/Restaurant_Review-g187265-d1194968-Reviews-Les_Culottes_Longues-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
110,Les Vieux Garçons,/Restaurant_Review-g187265-d11824522-Reviews-Les_Vieux_Garcons-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
111,Celest Restaurant,/Restaurant_Review-g187265-d10720590-Reviews-Celest_Restaurant-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
112,Antolio,/Restaurant_Review-g187265-d19402701-Reviews-Antolio-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
113,Cercle Rouge,/Restaurant_Review-g187265-d11904366-Reviews-Cercle_Rouge-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
114,Brasserie Le Nord,/Restaurant_Review-g187265-d1552898-Reviews-Brasserie_Le_Nord-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
115,BLO Restaurant,/Restaurant_Review-g187265-d14913909-Reviews-BLO_Restaurant-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
116,Restaurant le Parloir,/Restaurant_Review-g187265-d12838959-Reviews-Restaurant_le_Parloir-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
117,Le Comptoir Libanais,/Restaurant_Review-g187265-d23536439-Reviews-Le_Comptoir_Libanais-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
118,Café Terroir,/Restaurant_Review-g187265-d8685742-Reviews-Cafe_Terroir-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
119,Le Dandelion Cafe,/Restaurant_Review-g187265-d17755404-Reviews-Le_Dandelion_Cafe-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
120,Le Bouchon Des Filles,/Restaurant_Review-g187265-d1643202-Reviews-Le_Bouchon_Des_Filles-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
121,Rose de Damas,/Restaurant_Review-g187265-d14895883-Reviews-Rose_de_Damas-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
122,Le Canut et Les Gones,/Restaurant_Review-g187265-d2439554-Reviews-Le_Canut_et_Les_Gones-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
123,L'Atelier d'Yvonne,/Restaurant_Review-g187265-d918784-Reviews-L_Atelier_d_Yvonne-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
124,Le Bouchon des Artistes,/Restaurant_Review-g187265-d14913238-Reviews-Le_Bouchon_des_Artistes-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
125,Le Palais Des Tajines,/Restaurant_Review-g187265-d8808425-Reviews-Le_Palais_Des_Tajines-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
126,Le Troquet,/Restaurant_Review-g187265-d2718480-Reviews-Le_Troquet-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
127,L'Ange Di Vin,/Restaurant_Review-g187265-d3743018-Reviews-L_Ange_Di_Vin-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
128,L'Acteur,/Restaurant_Review-g187265-d1332430-Reviews-L_Acteur-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
129,Chères Cousines,/Restaurant_Review-g187265-d842067-Reviews-Cheres_Cousines-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
130,Le Comptoir de Lea,/Restaurant_Review-g187265-d1821207-Reviews-Le_Comptoir_de_Lea-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
131,Bouchon Bat D'Argent,/Restaurant_Review-g187265-d20405964-Reviews-Bouchon_Bat_D_Argent-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
132,A l'improviste,/Restaurant_Review-g187265-d10448886-Reviews-A_l_improviste-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
133,L'Établi,/Restaurant_Review-g187265-d13197209-Reviews-L_Etabli-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
134,Restaurant Lounge N133,/Restaurant_Review-g187265-d11816506-Reviews-Restaurant_Lounge_N133-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
135,La petite auberge,/Restaurant_Review-g187265-d1209282-Reviews-La_petite_auberge-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
136,Maison Moly,/Restaurant_Review-g187265-d26855276-Reviews-Maison_Moly-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
137,Hanoi Ca Phe,/Restaurant_Review-g187265-d13221000-Reviews-Hanoi_Ca_Phe-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
138,Arsenic,/Restaurant_Review-g187265-d4995531-Reviews-Arsenic-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
139,Flair,/Restaurant_Review-g187265-d3621738-Reviews-Flair-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
140,Merle Huitres Et Coquillages,/Restaurant_Review-g187265-d3687282-Reviews-Merle_Huitres_Et_Coquillages-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
141,Les Pavés de Saint Jean,/Restaurant_Review-g187265-d2720524-Reviews-Les_Paves_de_Saint_Jean-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
142,Restaurant Rustique,/Restaurant_Review-g187265-d19384388-Reviews-Restaurant_Rustique-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
143,La Gache,/Restaurant_Review-g187265-d21221126-Reviews-La_Gache-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
144,L'octave,/Restaurant_Review-g187265-d12895160-Reviews-L_octave-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
145,Les Telephones,/Restaurant_Review-g187265-d9750691-Reviews-Les_Telephones-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
146,"Aux 24 Colonnes, Le Bistrot du Palais",/Restaurant_Review-g187265-d1073008-Reviews-Aux_24_Colonnes_Le_Bistrot_du_Palais-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
147,Zucca,/Restaurant_Review-g187265-d8825212-Reviews-Zucca-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
148,Les Adrets,/Restaurant_Review-g187265-d938897-Reviews-Les_Adrets-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
149,Wasabi,/Restaurant_Review-g187265-d1014592-Reviews-Wasabi-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
150,Chikin Bang X Xing Fu Tang Korean Street Food Cordeliers,/Restaurant_Review-g187265-d25327023-Reviews-Chikin_Bang_X_Xing_Fu_Tang_Korean_Street_Food_Cordeliers-Lyon_Rhone_Auvergne_Rho.html,
151,Le Bouchon Sully,/Restaurant_Review-g187265-d7290042-Reviews-Le_Bouchon_Sully-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
152,Empanadas Club,/Restaurant_Review-g187265-d19896976-Reviews-Empanadas_Club-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
153,Gang Nam,/Restaurant_Review-g187265-d6694423-Reviews-Gang_Nam-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
154,A ma Vigne,/Restaurant_Review-g187265-d1326978-Reviews-A_ma_Vigne-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
155,La Cabane,/Restaurant_Review-g187265-d7596737-Reviews-La_Cabane-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
156,Brasserie l'Espace Carnot,/Restaurant_Review-g187265-d2434949-Reviews-Brasserie_l_Espace_Carnot-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
157,Pizzeria Napoli Chez Nicolo & Franco Morreale,/Restaurant_Review-g187265-d1323120-Reviews-Pizzeria_Napoli_Chez_Nicolo_Franco_Morreale-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
158,Le comptoir de l'atelier,/Restaurant_Review-g187265-d7110706-Reviews-Le_comptoir_de_l_atelier-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
159,Le F2,/Restaurant_Review-g187265-d10472522-Reviews-Le_F2-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
160,Saveurs D'orient,/Restaurant_Review-g187265-d6591956-Reviews-Saveurs_D_orient-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
161,Le Val d'Isere,/Restaurant_Review-g187265-d1331553-Reviews-Le_Val_d_Isere-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
162,Fufu Ramen Lyon,/Restaurant_Review-g187265-d26664497-Reviews-Fufu_Ramen_Lyon-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
163,Petit Ogre,/Restaurant_Review-g187265-d4686506-Reviews-Petit_Ogre-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
164,Daniel Et Denise,/Restaurant_Review-g187265-d3650211-Reviews-Daniel_Et_Denise-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
165,Christian Tetedoie,/Restaurant_Review-g187265-d715010-Reviews-Christian_Tetedoie-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
